collegeCode,collegeName,status,homeUniversity,district,minority,feesPdfUrl
06444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv",Un-Aided Home University,Punyashlok Ahilyadevi Holkar Solapur University,Chhatrapati Sambhajshagar,Non Minority,
06466,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad",Un-Aided Home University,Shivaji University,Satara,Non Minority,
06467,"Swami Vivekanand Institute Of Technology, Solapur",Un-Aided Home University,Punyashlok Ahilyadevi Holkar Solapur University,Solapur,Non Minority,
06468,"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur",Un-Aided Home University,Shivaji University,Kolhapur,Non Minority,
06545,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.",Un-Aided Autonomous Home University,Autonomous Institute,Satara,Non Minority,
06609,"Jaihind College Of Engineering,Kuran",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06622,ISBM College Of Engineering Pune,Un-Aided Linguistic Minority - Hindi Home University,Savitribai Phule Pune University,Pune,Hindi Minority,
06625,"Universal College of Engineering & Research, Sasewadi",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06628,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06632,Navsahyadri Education Society's Group of Institutions,Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06635,Samarth College of Engineering and Management,Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06640,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Un-Aided Home University,Punyashlok Ahilyadevi Holkar Solapur University,Solapur,Non Minority,
06643,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Un-Aided Home University,Punyashlok Ahilyadevi Holkar Solapur University,Solapur,Non Minority,
06644,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Un-Aided Autonomous Home University,Autonomous Institute,Sangli,Non Minority,
06649,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06714,"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",Un-Aided Home University,Shivaji University,Kolhapur,Non Minority,
06715,Babasaheb Phadtare Engineering & Technology Kalamb-Walchandnagar Tal Indapur Dist Pune,Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06754,"International Institute of Information Technology (I�IT), Pune.",Un-Aided Autonomous Home University,Autonomous Institute,Pune,Non Minority,
06755,"JSPM Narhe Technical Campus, Pune.",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06756,"Fabtech Technical Campus College of Engineering and Research, Sangola",Un-Aided Autonomous Home University,Autonomous Institute,Solapur,Non Minority,
06757,"Yashoda Technical Campus, Wadhe, Satara.",Un-Aided Home University,Shivaji University,Satara,Non Minority,
06758,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06759,"Shree Ramchandra College of Engineering, Lonikand,Pune",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06762,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",Un-Aided Home University,Shivaji University,Sangli,Non Minority,
06766,Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara,Un-Aided Home University,Shivaji University,Satara,Non Minority,
06767,"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune.",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06768,"P.K. Technical Campus, Pune.",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06770,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06771,"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06772,"NBN Sinhgad Technical Institutes Campus, Pune",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06780,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",Un-Aided Autonomous Home University,Autonomous Institute,Kolhapur,Non Minority,
06781,"Bhagwant Institute of Technology, Barshi",Un-Aided Home University,Punyashlok Ahilyadevi Holkar Solapur University,Solapur,Non Minority,
06782,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj",Un-Aided Home University,Punyashlok Ahilyadevi Holkar Solapur University,Solapur,Non Minority,
06794,"Anantrao Pawar College of Engineering & Research, Pune",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06795,"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06796,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06797,"Dnyanshree Institute Engineering and Technology, Satara",Un-Aided Home University,Shivaji University,Satara,Non Minority,
06799,"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj",Un-Aided Home University,Shivaji University,Sangli,Non Minority,
06803,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Un-Aided Home University,Shivaji University,Kolhapur,Non Minority,
06808,"Keystone School of Engineering, Pune",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06811,Sanjay Ghodawat Institute,Un-Aided Home University,Shivaji University,Kolhapur,Non Minority,
06815,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",Un-Aided Autonomous Home University,Autonomous Institute,Pune,Non Minority,
06834,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",Un-Aided Autonomous Home University,Autonomous Institute,Pune,Non Minority,
06839,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Un-Aided Home University,Shivaji University,Kolhapur,Non Minority,
06878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",Un-Aided Home University,Shivaji University,Kolhapur,Non Minority,
06901,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Un-Aided Home University,Punyashlok Ahilyadevi Holkar Solapur University,Solapur,Non Minority,
06991,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
14005,"Laxminarayan Innovation Technological University, Nagpur",University Autonomous Home University,Autonomous Institute,Nagpur,Non Minority,
16006,COEP Technological University,University Autonomous Home University,Autonomous Institute,Pune,Non Minority,
16121,"Shri. Anandrao Abitkar College of Engineering, Pal",Un-Aided Home University,Shivaji University,Kolhapur,Non Minority,
16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",Un-Aided Home University,Savitribai Phule Pune University,Lakhewadi,Non Minority,
16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
16354,DNYANVILAS COLLEGE OF ENGINEERING,Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
16355,Audyogik Shikshan Mandal's Nextgen Technical Campus,Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
